Country,EdLevel,YearsCodePro,Salary
16,0,23.0,250000.0
16,0,7.0,156000.0
15,1,21.0,96828.0
16,1,3.0,135000.0
16,0,3.0,80000.0
0,0,9.0,78003.0
16,0,9.0,75000.0
16,2,0.5,150000.0
9,2,7.0,187407.0
5,2,10.0,107090.0
13,0,2.0,45149.0
4,2,6.0,58899.0
5,1,14.0,75010.0
15,0,6.0,60828.0
5,3,5.0,85672.0
5,3,10.0,69608.0
12,2,10.0,37481.0
15,0,2.0,38483.0
12,3,15.0,74963.0
0,0,19.0,237974.0
1,0,5.0,26374.0
5,1,7.0,53545.0
8,0,13.0,42836.0
16,1,15.0,130000.0
5,2,2.0,53982.0
15,0,6.0,136552.0
2,0,2.0,111527.0
16,0,16.0,165000.0
16,1,2.0,63000.0
2,0,9.0,101490.0
14,2,28.0,149894.0
5,2,9.0,82459.0
9,0,2.0,38552.0
6,0,6.0,41197.0
8,2,2.0,128507.0
1,0,14.0,24345.0
5,0,6.0,86528.0
16,2,24.0,140000.0
1,1,9.0,18665.0
10,2,5.0,117798.0
16,0,7.0,145000.0
5,2,6.0,85672.0
4,2,9.0,85672.0
16,0,10.0,200990.0
5,2,25.0,96381.0
6,0,6.0,18175.0
16,0,12.0,118000.0
16,2,6.0,150000.0
14,0,4.0,121238.0
16,2,20.0,200000.0
2,0,5.0,52046.0
9,0,7.0,71326.0
15,0,12.0,55862.0
5,1,3.0,48190.0
6,2,8.0,24234.0
12,0,3.0,26772.0
8,2,18.0,65325.0
13,2,24.0,51415.0
16,0,25.0,170000.0
3,0,30.0,138033.0
16,0,19.0,110000.0
16,0,27.0,155000.0
6,0,4.0,36351.0
4,2,8.0,55687.0
5,2,23.0,96381.0
5,1,20.0,58899.0
5,0,4.0,74963.0
8,1,17.0,56757.0
5,0,7.0,101735.0
15,0,2.0,71379.0
14,0,3.0,99195.0
16,2,43.0,170000.0
16,0,7.0,120000.0
5,1,21.0,85672.0
16,2,10.0,130000.0
1,0,5.0,30431.0
13,1,14.0,55285.0
15,2,7.0,125380.0
4,3,8.0,64254.0
8,2,19.0,42836.0
5,0,25.0,79246.0
16,0,7.0,240000.0
5,1,38.0,74963.0
5,2,4.0,61041.0
7,1,18.0,138985.0
5,2,3.0,55687.0
